idx,Destino_ID,lat,lon
0,100423,41.331323,2.034142
1,103154,41.550570,2.227743
2,115740,42.432896,-2.551776
3,118135,41.610618,2.300494
4,118136,41.943368,2.257421
5,118470,41.610075,2.290380
6,119751,41.540821,2.222496
7,119956,41.792263,2.729823
8,122348,41.608274,2.288537
9,122790,41.596468,2.282058
10,126089,41.474306,2.083860
11,128003,41.613714,2.292026
12,128051,41.538581,2.211281
13,128916,41.536549,2.230297
14,136675,41.939354,2.254115
15,9100040724,41.606885,2.288425
16,9100040748,41.632553,2.298299
17,9100040775,41.544608,2.217888
18,9100040930,41.611157,2.296710
19,9100040967,41.588050,2.241901
20,9100041008,41.612909,2.286948
21,9100041010,41.601443,2.290616
22,9100041053,41.562347,2.229794
23,9100041059,41.618286,2.294693
24,9100041161,41.551477,2.243719
25,9100041355,41.606114,2.300811
26,9100041393,41.565323,2.229146
27,9100041442,41.591130,2.208504
28,9100041485,41.550400,2.249668
29,9100041503,41.551053,2.248644
30,9100041543,41.561669,2.228238
31,9100041564,41.613517,2.290402
32,9100041725,41.608595,2.288901
33,9100041762,41.573134,2.233839
34,9100041774,41.612940,2.291703
35,9100041840,41.573134,2.233839
36,9100041990,41.613639,2.290125
37,9100042037,41.606800,2.290578
38,9100042249,41.605269,2.275348
39,9100042378,41.573134,2.233839
40,9100042414,41.586243,2.239856
41,9100042491,41.604836,2.289352
42,9100042500,41.608424,2.288049
43,9100042612,41.613748,2.289596
44,9100042685,41.585917,2.239653
45,9100042719,41.607889,2.286731
46,9100042801,41.547529,2.265113
47,9100042829,41.600924,2.286601
48,9100042846,41.586243,2.239856
49,9100042964,41.600338,2.296249
50,9100042975,41.605269,2.275348
51,9100043107,41.586300,2.239140
52,9100043144,41.609850,2.302168
53,9100043170,41.600058,2.277620
54,9100043198,41.540498,2.263486
55,9100043317,41.608517,2.239511
56,9100043364,41.606885,2.288425
57,9100043381,41.606800,2.284828
58,9100043408,41.545181,2.268739
59,9100043482,41.573134,2.233839
60,9100043540,41.542545,2.267056
61,9100043594,41.591724,2.338791
62,9100043706,41.587336,2.326058
63,9100043719,41.554415,2.270369
64,9100043749,41.544001,2.212727
65,9100043799,41.613714,2.292026
66,9100043839,41.568786,2.257439
67,9100043853,41.608879,2.290621
68,9100043866,41.609142,2.290283
69,9100043893,41.597957,2.286472
70,9100044002,41.586300,2.239140
71,9100044043,41.573451,2.211077
72,9100044089,41.579884,2.233200
73,9100044099,41.561794,2.257127
74,9100044130,41.609741,2.289555
75,9100044243,41.601331,2.298150
76,9100044282,41.611964,2.285709
77,9100044290,41.562495,2.230057
78,9100044326,41.619556,2.297708
79,9100044359,41.600613,2.211041
80,9100044366,41.553719,2.267259
81,9100044391,41.647503,2.306631
82,9100044399,41.617105,2.294973
83,9100044409,41.618305,2.293063
84,9100044418,41.601614,2.296243
85,9100044419,41.651474,2.230210
86,9100044457,42.056723,2.643502
87,9100044469,41.607935,2.284838
88,9100044480,41.565088,2.272133
89,9100044483,41.614134,2.241521
90,9100047575,41.461238,2.079963
91,9100054533,41.534762,2.229102
92,9100054565,41.544220,2.216728
93,9100054573,41.540111,2.216688
94,9100054639,41.541288,2.210284
95,9100054644,41.539321,2.213440
96,9100054649,41.572941,2.233809
97,9100054707,41.545837,2.206997
98,9100054708,41.538347,2.212220
99,9100054732,41.543383,2.209726
100,9100054744,41.533475,2.217542
101,9100054762,41.535314,2.212765
102,9100054778,41.540666,2.219021
103,9100054838,41.545245,2.211242
104,9100054856,41.548026,2.207937
105,9100054857,41.534261,2.208602
106,9100054872,41.547628,2.219969
107,9100054873,41.543966,2.209127
108,9100054889,41.518508,2.232798
109,9100054896,41.538850,2.213529
110,9100054923,41.527547,2.232291
111,9100054949,41.546707,2.208060
112,9100055030,41.548419,2.207772
113,9100055035,41.540300,2.271578
114,9100055101,41.530751,2.218028
115,9100055108,41.534891,2.214658
116,9100055144,41.543378,2.207743
117,9100055177,41.523035,2.223657
118,9100055224,41.539612,2.209980
119,9100055265,41.539919,2.211876
120,9100055275,41.553815,2.267101
121,9100055329,41.542545,2.267056
122,9100055361,41.525764,2.221822
123,9100055497,41.539468,2.218176
124,9100055505,41.548998,2.205239
125,9100055508,41.537603,2.212664
126,9100055559,41.519886,2.254604
127,9100055568,41.539784,2.212846
128,9100055620,41.538710,2.213336
129,9100055626,41.536598,2.211526
130,9100055679,41.541383,2.209916
131,9100055707,41.538999,2.212766
132,9100055836,41.538710,2.213336
133,9100055925,41.540498,2.263486
134,9100056034,41.544874,2.205318
135,9100056047,41.546259,2.204145
136,9100056059,41.605520,2.286372
137,9100056090,41.539393,2.210880
138,9100056113,41.544080,2.220798
139,9100056384,41.925284,2.254040
140,9100056389,42.052479,2.260093
141,9100056562,41.930408,2.253817
142,9100056628,42.123665,2.250987
143,9100056689,41.918332,2.247915
144,9100056722,41.926024,2.277961
145,9100056988,42.046354,2.262491
146,9100057038,42.047974,2.265782
147,9100057428,41.932909,2.256359
148,9100057483,42.052628,2.260842
149,9100057776,41.925277,2.284270
150,9100057906,42.048603,2.264966
151,9100057926,41.903031,2.284143
152,9100057936,41.930858,2.259253
153,9100058035,41.936818,2.311755
154,9100058168,41.932426,2.247479
155,9100058180,41.925582,2.328720
156,9100058299,41.940987,2.243302
157,9100058399,41.918332,2.247915
158,9100058446,41.940987,2.243302
159,9100058476,41.940987,2.243302
160,9100058499,41.930819,2.250234
161,9100058613,42.053847,2.253160
162,9100058617,41.976481,2.304362
163,9100058670,41.919623,2.256953
164,9100058727,41.930408,2.253817
165,9100058730,41.851856,2.219711
166,9100058772,42.048694,2.253000
167,9100058835,42.073636,2.298188
168,9100058850,41.927242,2.255694
169,9100059021,42.047269,2.258806
170,9100059072,41.899496,2.282579
171,9100059082,42.101593,2.217655
172,9100059144,41.925199,2.253796
173,9100059171,42.050770,2.256546
174,9100059229,41.940430,2.252483
175,9100059282,41.600382,2.285948
176,9100059399,41.930506,2.258080
177,9100059602,41.536464,2.205967
178,9100075744,41.590168,2.326092
179,9100075764,41.547337,2.205914
180,9100076081,41.534973,2.207899
181,9100076545,41.627019,2.298412
182,9100076613,41.604836,2.289352
183,9100087371,41.591116,2.288021
184,9100087801,41.606800,2.284828
185,9100094835,41.608879,2.290621
186,9100097548,41.542330,2.265084
187,9100098069,41.609642,2.283416
188,9100112714,41.526535,2.230247
189,9100120687,41.497224,2.233309
190,9100120794,41.608879,2.290621
191,9100120799,41.613728,2.287919
192,9100120981,41.616406,2.277552
193,9100121589,41.546329,2.219483
194,9100121732,41.540111,2.216688
195,9100122181,42.048603,2.264966
196,9100122540,42.075131,2.296562
197,9100122840,41.600223,2.290332
198,9100125812,41.542545,2.267056
199,9100126286,42.053294,2.252178
200,9100126369,42.047974,2.265782
201,9100126372,42.100873,2.217368
202,9100126373,41.936124,2.264756
203,9100127570,41.921029,2.251894
204,9100127929,41.617067,2.294143
205,9100129120,41.540498,2.263486
206,9100129209,42.042140,2.273320
207,9100129392,41.923517,2.323384
208,9100130145,41.943004,2.247379
209,9100134828,41.931199,2.240379
210,9100134890,41.612891,2.294838
211,9100134891,41.587336,2.326058
212,9100135277,41.930311,2.246258
213,9100135478,41.920697,2.249137
214,9100136123,42.050210,2.254459
215,9100139584,41.587336,2.326058
216,9100145802,41.928238,2.250754
217,9100145874,41.607619,2.284436
218,9100150711,41.565858,2.225023
219,9100150866,41.600598,2.254168
220,9100151073,41.600094,2.288506
221,9100151684,41.552208,2.242234
222,9100153533,41.536247,2.215520
223,9100154524,41.542339,2.268076
224,9100154591,41.542545,2.267056
225,9100158099,41.574478,2.223925
226,9100158492,42.000020,2.284108
227,9100158623,41.984288,2.309861
228,9100158828,41.932376,2.255408
229,9100158833,42.000020,2.284108
230,9100158856,41.928238,2.250754
231,9100158872,42.001440,2.280765
232,9100158946,41.931104,2.253208
233,9100159002,41.936685,2.254869
234,9100159004,41.923210,2.253579
235,9100159110,41.849940,2.229188
236,9100159144,41.938693,2.318224
237,9100159254,42.006632,2.289361
238,9100159296,42.042140,2.273320
239,9100159298,42.000020,2.284108
240,9100159311,42.009454,2.241359
241,9100159383,42.014190,2.242670
242,9100159423,42.016205,2.238856
243,9100159533,42.016368,2.245132
244,9100159640,41.930492,2.253788
245,9100160054,41.990762,2.316924
246,9100160118,41.936207,2.260771
247,9100160124,41.984288,2.309861
248,9100160354,42.000020,2.284108
249,9100161621,41.551043,2.247244
250,9100166608,41.931570,2.258504
251,9100169285,41.608065,2.287323
252,9100169481,41.911105,2.189755
253,9100169606,41.540397,2.263300
254,9100171360,42.046965,2.262729
255,9100180416,41.856119,2.229690
256,9100184449,41.538821,2.213563
257,9100190779,41.535515,2.211448
258,9100194884,41.999981,2.284116
259,9100197987,41.936124,2.264756
260,9100198106,41.541811,2.265636
261,9100199450,41.542162,2.265443
262,9100206311,42.004250,2.296083
263,9100206312,41.932000,2.260728
264,9100206314,41.796741,2.218958
265,9100215822,41.934416,2.253472
266,9100219680,41.602966,2.290860
267,9100219758,41.611021,2.286814
268,9100220279,41.925429,2.282826
269,9100226319,41.605162,2.289417
270,9100227012,41.600215,2.281061
271,9100227177,41.560164,2.221666
272,9100229412,41.551477,2.243719
273,9100230870,41.560674,2.219275
274,9100233605,41.527547,2.232291
275,9100238822,41.527547,2.232291
276,9100239655,41.538165,2.211349
277,9100242346,41.899871,2.282198
278,9100246685,41.544952,2.206446
279,9100246985,42.101916,2.294658
280,9100247403,41.984288,2.309861
281,9100250393,41.604578,2.284582
282,9100250629,42.104831,2.217647
283,9100252058,41.523399,2.223953
284,9100252094,42.046035,2.269832
285,9100252903,41.606885,2.288425
286,9100253034,41.928841,2.243398
287,9100253786,41.600819,2.284991
288,9100255064,41.935955,2.180160
289,9100259166,41.946206,2.259170
290,9100264285,41.528052,2.209484
291,9100264438,41.562848,2.222113
292,9100264654,41.605095,2.290546
293,9100264859,41.581435,2.222220
294,9100270631,41.988645,2.313814
295,9100271543,41.534016,2.210249
296,9100281244,41.543116,2.219026
297,9100281245,41.556835,2.226768
298,9100281570,42.053735,2.243269
299,9100282736,42.074776,2.295978
300,9100283498,41.605274,2.292877
301,9100294904,41.928317,2.252113
302,9100296409,41.545701,2.261799
303,9100296646,41.538595,2.213430
304,9100300991,41.610744,2.239560
305,9100301605,41.582010,2.237337
306,9100304652,41.606114,2.300811
307,9100305166,41.533068,2.207930
308,9100305167,41.530751,2.218028
309,9100310143,41.605299,2.284371
310,9100326018,42.004092,2.278262
311,9100326765,41.547647,2.220435
312,9100332707,42.000020,2.284108
313,9100334134,41.554961,2.268810
314,9100336673,41.548770,2.205299
315,9100337367,41.932580,2.247966
316,9100338195,41.612891,2.294838
317,9100338196,41.602244,2.284853
318,9100338332,41.538955,2.206567
319,9100340260,41.597991,2.290207
320,9100340763,41.621271,2.294643
321,9100341135,41.613639,2.290125
322,9100341736,41.547238,2.205498
323,9100342026,41.941006,2.242308
324,9100342550,41.528679,2.227013
325,9100343446,41.934064,2.262107
326,9100345891,41.929342,2.258170
327,9100348821,41.590882,2.288042
328,9100350872,41.547942,2.219424
329,9100350948,41.985656,2.305737
330,9100354651,41.536824,2.211613
331,9100365812,41.606114,2.300811
332,9100366443,41.544055,2.217529
333,9100366724,41.572719,2.236508
334,9100366732,41.544312,2.219483
335,9100366733,41.543914,2.218990
336,9100366757,41.574475,2.224303
337,9100369663,42.101416,2.217642
338,9100371601,41.620560,2.213236
339,9100371825,41.542549,2.215431
340,9100372136,41.988645,2.313814
341,9100373506,41.540110,2.267935
342,9100373615,41.607636,2.288262
343,9100373640,41.608595,2.288901
344,9100373641,41.608595,2.288901
345,9100374304,41.920584,2.250764
346,9100374429,41.929996,2.255261
347,9100377532,41.533144,2.235363
348,9100378362,42.063195,2.274057
349,9100382635,41.574478,2.223925
350,9100383438,41.984288,2.309861
351,9100385693,41.937876,2.310099
352,9100389125,41.924275,2.260045
353,9100389358,41.929289,2.256557
354,9100397795,41.939777,2.238478
355,9100399265,41.608972,2.286018
356,9100399521,41.925704,2.246415
357,9100403364,41.539612,2.209980
358,9100409671,41.925199,2.253796
359,9100410532,41.619556,2.297708
360,9100410610,42.046704,2.261985
361,9100411152,41.925704,2.246415
362,9100411688,41.619556,2.297708
363,9100413240,41.574478,2.223925
364,9100413328,41.534891,2.214658
365,9100414445,41.589750,2.204847
366,9100416412,41.946983,2.257683
367,9100419900,41.929799,2.254753
368,9100420376,42.011587,2.290393
369,9100420786,41.600819,2.284991
370,9100423519,41.939043,2.253095
371,9100423767,41.591467,2.261449
372,9100424065,41.551043,2.247244
373,9100432797,41.623917,2.293605
374,9100433466,42.003172,2.241584
375,9100443296,38.742235,-0.442619
376,9100443450,41.928471,2.246344
377,9100445926,41.607334,2.286295
378,9100446439,41.946460,2.256035
379,9100447655,41.523399,2.223953
380,9100451636,41.946403,2.239116
381,9100453983,41.925704,2.246415
382,9100461830,42.050770,2.256546
383,9100466233,41.536380,2.217068
384,9100466625,41.930915,2.256203
385,9100467331,41.543008,2.219626
386,9100468310,41.585262,2.210596
387,9100469494,41.607619,2.284436
388,9100471566,41.928317,2.252113
389,9100473327,42.126940,2.257279
390,9100473447,41.890757,2.337028
391,9100473659,41.846251,2.231976
392,9100474233,41.535443,2.435014
393,9100479079,41.606885,2.288425
394,9100479427,42.000361,2.282964
395,9100480482,41.592940,2.290122
396,9100485303,42.003214,2.290407
397,9100486027,41.544204,2.210261
398,9100491082,41.924950,2.284804
399,9100492927,41.932562,2.265932
400,9100493210,41.522614,2.245024
401,9100494258,41.950159,2.282347
402,9100495381,41.595284,2.281489
403,9100495996,41.606661,2.290090
404,9100497770,41.617231,2.294442
405,9100497829,41.545569,2.217966
406,9100498065,41.535897,2.211341
407,9100501076,41.607961,2.287210
408,9100502995,41.613714,2.292026
409,9100503205,41.544055,2.217529
410,9100503664,41.610877,2.239431
411,9100505409,41.523399,2.223953
412,9100505447,41.536458,2.210850
413,9100506888,41.612821,2.286228
414,9100507154,41.611021,2.286814
415,9100507921,41.604753,2.283938
416,9100509767,41.608057,2.288095
